Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image,Product Notes
1,RMCF0805FT10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/8W 0805,"1,071,036",In Stock,,4,4,Cut Tape (CT),RMCF0805FT10K0CT-ND,0.16000,$0.64,1,,RMCF0805FT10K0,16,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/cert-of-compliance.pdf,RMCF0805FT10K0,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
2,MCU08050C6000FP500,Vishay Beyschlag/Draloric/BC Components,RES 600 OHM 1% 1/8W 0805,133,In Stock - Non-Stock,,4,4,Cut Tape (CT),749-MCU08050C6000FP500CT-ND,0.24000,$0.96,1,,MCU08050C6000FP500,12,https://www.vishay.com/docs/28705/mcx0x0xpro.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Israel,,MCU08050C6000FP500,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2576/MCU%200805.jpg,"Non Cancellable Non Returnable. "
3,CL21A475KAQNNNE,Samsung Electro-Mechanics,CAP CER 4.7UF 25V X5R 0805,"2,660,206",In Stock,,2,2,Cut Tape (CT),1276-1244-1-ND,0.15000,$0.30,1,,CL21A475KAQNNNE,22,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL21A475KAQNNNE_Spec.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,China,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,CL21A475KAQNNNE,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/Ceramic-Capacitor-CL-Series.jpg,
4,TMCP1E104MTRF,Vishay Sprague,CAP TANT 100NF 20% 25V 0805,"5,054",In Stock,,2,2,Cut Tape (CT),718-2505-1-ND,0.46000,$0.92,1,,TMCP1E104MTRF,24,https://www.vishay.com/docs/40179/tmcp.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.21.0050,Japan,,TMCP1E104MTRF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/TMCP-Series.jpg,
5,LAUNCHXL-F28379D,Texas Instruments,LAUNCHPAD TMS320F2837XD/2837XS,8,In Stock,,1,1,Bulk,296-46713-ND,71.12000,$71.12,1,,LAUNCHXL-F28379D,12,https://www.ti.com/lit/pdf/sprui77,,	-,,Active,ROHS3 Compliant,1  (Unlimited),5A991B1,8471.50.0150,China,,LAUNCHXL-F28379D,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2298/MFG_LAUNCHXL-F28379D.jpg,
6,ERJ-P06F3301V,Panasonic Electronic Components,RES SMD 3.3K OHM 1% 1/2W 0805,"85,880",In Stock,,10,10,Cut Tape (CT),P16070CT-ND,0.13900,$1.39,1,,ERJ-P06F3301V,15,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Japan,https://industrial.panasonic.com/cdbs/www-cgi/auto-publishing.cgi?type=ROSU&region=WW&layer=4&cd=AOA0002,ERJ-P06F3301V,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2502/ERJ-0805%20Pkg.jpg,
7,LTST-C150KRKT,Lite-On Inc.,LED RED CLEAR 1206 SMD,"152,479",In Stock,,2,2,Cut Tape (CT),160-1405-1-ND,0.29000,$0.58,1,,LTST-C150KRKT,18,https://optoelectronics.liteon.com/upload/download/DS-22-99-0149/LTST-C150KRKT.pdf,,	-,,Active,ROHS3 Compliant,3  (168 Hours),EAR99,8541.41.0000,China,,LTST-C150KRKT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1062/LTST-C150KRKT%2CLTST-C150KSKT%2CLTST-C150KYKT.jpg,
8,LTST-C150TBKT,Lite-On Inc.,LED BLUE CLEAR 1206 SMD,"110,849",In Stock,,2,2,Cut Tape (CT),160-1643-1-ND,0.57000,$1.14,1,,LTST-C150TBKT,18,https://optoelectronics.liteon.com/upload/download/DS22-2000-026/LTST-C150TBKT(0630).pdf,,	-,,Active,ROHS3 Compliant,3  (168 Hours),EAR99,8541.41.0000,China,,LTST-C150TBKT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1055/LTST-C150TBKT%2CLTST-C150KAKT%2CLTST-C150KGKT.jpg,
9,LTST-C150KGKT,Lite-On Inc.,LED GREEN CLEAR 1206 SMD,"402,550",In Stock,,2,2,Cut Tape (CT),160-1404-1-ND,0.29000,$0.58,1,,LTST-C150KGKT,18,https://optoelectronics.liteon.com/upload/download/DS22-2000-072/LTST-C150KGKT.pdf,,	-,,Active,ROHS3 Compliant,3  (168 Hours),EAR99,8541.41.0000,China,,LTST-C150KGKT,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1055/LTST-C150TBKT%2CLTST-C150KAKT%2CLTST-C150KGKT.jpg,
10,TMV 0512SHI,Traco Power,DC DC CONVERTER 12V 1W,30,In Stock,,1,1,Tube,TMV0512SHI-ND,14.29000,$14.29,1,,TMV 0512SHI,12,https://www.tracopower.com/products/tmv-hi.pdf,,	-,,Active,ROHS3 Compliant,Not Applicable,EAR99,8504.40.9580,Taiwan,https://www.tracopower.com/info/rohs-declaration.pdf|https://www.tracopower.com/info/reach-declaration.pdf,TMV 0512SHI,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/57/MFG_TMV-HI.jpg,
